Actor Name,Name,Drop Table Name,Drop Reason,Drop,Amount,Drop Chance
Animal_Bear_A,Honeyvore Bear,,,Raw Prime Meat,2-3,60%
Animal_Bear_A,Honeyvore Bear,,,Raw Gourmet Meat,2-3,30%
Animal_Bear_A,Honeyvore Bear,,,Courser Bee Honey,2-3,10%
Animal_Bear_A,Honeyvore Bear,,BurnedOut,Seared Prime Steak,2,70%
Animal_Bear_A,Honeyvore Bear,,BurnedOut,Seared Gourmet Steak,2,30%
Animal_Bear_A,Honeyvore Bear,,Iced,Icy Prime Meat,2,70%
Animal_Bear_A,Honeyvore Bear,,Iced,Icy Gourmet Meat,2,30%
Animal_Bear_B,Grizzlemaw Bear,,,Raw Prime Meat,3-4,60%
Animal_Bear_B,Grizzlemaw Bear,,,Raw Gourmet Meat,3-4,30%
Animal_Bear_B,Grizzlemaw Bear,,,Hearty Salmon,3-4,10%
Animal_Bear_B,Grizzlemaw Bear,,BurnedOut,Seared Prime Steak,3-4,70%
Animal_Bear_B,Grizzlemaw Bear,,BurnedOut,Seared Gourmet Steak,3-4,30%
Animal_Bear_B,Grizzlemaw Bear,,Iced,Icy Prime Meat,3-4,70%
Animal_Bear_B,Grizzlemaw Bear,,Iced,Icy Gourmet Meat,3-4,30%
Animal_Boar_A,Woodland Boar,,,Raw Meat,2,100%
Animal_Boar_A,Woodland Boar,,BurnedOut,Seared Steak,2,100%
Animal_Boar_A,Woodland Boar,,Iced,Icy Meat,2,100%
Animal_Boar_B,Red-Tusked Boar,,,Raw Prime Meat,2-3,100%
Animal_Boar_B,Red-Tusked Boar,,BurnedOut,Seared Prime Steak,2-3,100%
Animal_Boar_B,Red-Tusked Boar,,Iced,Icy Prime Meat,2-3,100%
Animal_Bull_A,Water Buffalo,,,Raw Prime Meat,2,90%
Animal_Bull_A,Water Buffalo,,,Raw Gourmet Meat,2,10%
Animal_Bull_A,Water Buffalo,,BurnedOut,Seared Prime Steak,2,90%
Animal_Bull_A,Water Buffalo,,BurnedOut,Seared Gourmet Steak,2,10%
Animal_Bull_A,Water Buffalo,,Iced,Icy Prime Meat,2,90%
Animal_Bull_A,Water Buffalo,,Iced,Icy Gourmet Meat,2,10%
Animal_Cassowary_A,Eldin Ostrich,,,Raw Bird Thigh,2,80%
Animal_Cassowary_A,Eldin Ostrich,,,Raw Whole Bird,2,20%
Animal_Cassowary_A,Eldin Ostrich,,BurnedOut,Roasted Bird Thigh,2,80%
Animal_Cassowary_A,Eldin Ostrich,,BurnedOut,Roasted Whole Bird,2,20%
Animal_Cassowary_A,Eldin Ostrich,,Iced,Frozen Bird Thigh,2,80%
Animal_Cassowary_A,Eldin Ostrich,,Iced,Frozen Whole Bird,2,20%
Animal_Crow_A,Mountain Crow,,,Raw Bird Drumstick,2,100%
Animal_Crow_A,Mountain Crow,,BurnedOut,Roasted Bird Drumstick,2,100%
Animal_Crow_A,Mountain Crow,,Iced,Frozen Bird Drumstick,2,100%
Animal_Deer_A,Mountain Buck,,,Raw Prime Meat,2,100%
Animal_Deer_A,Mountain Buck,,BurnedOut,Seared Prime Steak,2,100%
Animal_Deer_A,Mountain Buck,,Iced,Icy Prime Meat,2,100%
Animal_Doe_A,Mountain Doe,,,Raw Prime Meat,2,100%
Animal_Doe_A,Mountain Doe,,BurnedOut,Seared Prime Steak,2,100%
Animal_Doe_A,Mountain Doe,,Iced,Icy Prime Meat,2,100%
Animal_Elk_A,Tabantha Moose,,,Raw Prime Meat,3,70%
Animal_Elk_A,Tabantha Moose,,,Raw Gourmet Meat,3,30%
Animal_Elk_A,Tabantha Moose,,BurnedOut,Seared Prime Steak,3,70%
Animal_Elk_A,Tabantha Moose,,BurnedOut,Seared Gourmet Steak,3,30%
Animal_Elk_A,Tabantha Moose,,Iced,Icy Prime Meat,3,70%
Animal_Elk_A,Tabantha Moose,,Iced,Icy Gourmet Meat,3,30%
Animal_Fish_A,Hyrule Bass,,BurnedOut,Roasted Bass,1,100%
Animal_Fish_A,Hyrule Bass,,Iced,Frozen Bass,1,100%
Animal_Fish_A,Hyrule Bass,,,Hyrule Bass,1,100%
Animal_Fish_AA,Ancient Arowana,,BurnedOut,Roasted Arowana,1,100%
Animal_Fish_AA,Ancient Arowana,,Iced,Frozen Arowana,1,100%
Animal_Fish_AA,Ancient Arowana,,,Ancient Arowana,1,100%
Animal_Fish_AC,Glowing Cave Fish,,BurnedOut,Roasted Cave Fish,1,100%
Animal_Fish_AC,Glowing Cave Fish,,Iced,Frozen Cave Fish,1,100%
Animal_Fish_AC,Glowing Cave Fish,,,Glowing Cave Fish,1,100%
Animal_Fish_B,Hearty Bass,,BurnedOut,Roasted Hearty Bass,1,100%
Animal_Fish_B,Hearty Bass,,Iced,Frozen Hearty Bass,1,100%
Animal_Fish_B,Hearty Bass,,,Hearty Bass,1,100%
Animal_Fish_C,Chillfin Trout,,BurnedOut,Roasted Trout,1,100%
Animal_Fish_C,Chillfin Trout,,Iced,Frozen Trout,1,100%
Animal_Fish_C,Chillfin Trout,,,Chillfin Trout,1,100%
Animal_Fish_D,Voltfin Trout,,BurnedOut,Roasted Trout,1,100%
Animal_Fish_D,Voltfin Trout,,Iced,Frozen Trout,1,100%
Animal_Fish_D,Voltfin Trout,,,Voltfin Trout,1,100%
