Name,Type,ActorName,Object Map Link,X,Y,Height,X,Y,Height,X,Y,Height,X,Y,Height,X,Y,Height,X,Y,Height,X,Y,Height,X,Y,Height,X,Y,Height,X,Y,Height,X,Y,Height,X,Y,Height
Eldin Sky,Location,MapRegion_Eldin_Sky,Eldin Sky,1978.9487,2088.8088,1895,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eldin,Location,MapRegion_Eldin,Eldin,1934.8647,2232.061,-105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Faron Sky,Location,MapRegion_Firone_Sky,Faron Sky,969.32825,-2825.316,895,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Faron,Location,MapRegion_Firone,Faron,969.32825,-2825.316,-105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gerudo Sky,Location,MapRegion_Gerudo_Sky,Gerudo Sky,-3624.8682,-2759.0654,1895,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gerudo,Location,MapRegion_Gerudo,Gerudo,-3989.0056,-3257.3423,-105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Necluda Sky,Location,MapRegion_Hateru_Sky,Necluda Sky,2642.6465,-1964.2283,1895,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Necluda,Location,MapRegion_Hateru,Necluda,2500.505,-1685.2559,-105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hebra Sky,Location,MapRegion_Hebura_Sky,Hebra Sky,-3357.8232,2442.1362,895,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hebra,Location,MapRegion_Hebura,Hebra,-3357.8232,2704.6104,-105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Central Hyrule Sky,Location,MapRegion_HyrulePrairie_Sky,Central Hyrule Sky,-247.97748,77.934204,1895,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Central Hyrule,Location,MapRegion_HyrulePrairie,Central Hyrule,-256.19678,-116.21338,-105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lanayru Sky,Location,MapRegion_Lanayru_Sky,Lanayru Sky,3174.9326,-499.82422,1895,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lanayru,Location,MapRegion_Lanayru,Lanayru,3174.9326,-615.16205,-105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Akkala Sky,Location,MapRegion_Tamul_Sky,Akkala Sky,3950.0586,2575.9775,1895,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Akkala,Location,MapRegion_Tamul,Akkala,3556.7686,3039.2314,-105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Great Sky Island,Location,BeginningIsland,Great Sky Island,394.477,-1259.8545,1832,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guardian of the Rising Island Chain,Location,Rito_SkyHighIsland,Guardian of the Rising Island Chain,-3156,3215,1895,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eldin Sky Archipelago,Location,SkyIslands_Eldin01,Eldin Sky Archipelago,1777,2705.5,1895,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Eldin Sky Archipelago,Location,SkyIslands_Eldin02,South Eldin Sky Archipelago,1924.841,798.7323,1895,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Faron Sky Archipelago,Location,SkyIslands_Firone01,Faron Sky Archipelago,-68.03299,-2751.132,895,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
West Necluda Sky Archipelago,Location,SkyIslands_Firone02,West Necluda Sky Archipelago,1295.387,-2346.836,1897,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Gerudo Sky Archipelago,Location,SkyIslands_Gerudo01,East Gerudo Sky Archipelago,-1866.2982,-2316.1748,1895,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Gerudo Sky Archipelago,Location,SkyIslands_Gerudo02,North Gerudo Sky Archipelago,-3573.1611,-607.9292,1895,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Necluda Sky Archipelago,Location,SkyIslands_Hateru01,Necluda Sky Archipelago,2540.858,-2270.683,1895,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Necluda Sky Archipelago,Location,SkyIslands_Hateru02,South Necluda Sky Archipelago,2559.246,-3751.438,895,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Hebra Sky Archipelago,Location,SkyIslands_Hebra02,East Hebra Sky Archipelago,-1729.4684,3171.4014,1895,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Hebra Sky Archipelago,Location,SkyIslands_Hebra03,South Hebra Sky Archipelago,-3136.992,2019.0597,1895,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
West Hebra Sky Archipelago,Location,SkyIslands_Hebra04,West Hebra Sky Archipelago,-3845.8484,2300,1895,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Central Hyrule Sky Archipelago,Location,SkyIslands_Hyrule01,Central Hyrule Sky Archipelago,131.831,-92.04001,1950,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Necluda Sky Archipelago,Location,SkyIslands_Hyrule02,North Necluda Sky Archipelago,1795.117,-864.054,1895,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Hyrule Sky Archipelago,Location,SkyIslands_Hyrule03,South Hyrule Sky Archipelago,-901.231,-1380,1895,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Hyrule Sky Archipelago,Location,SkyIslands_Hyrule04,North Hyrule Sky Archipelago,349.93207,2354.2976,1895,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
West Hyrule Sky Archipelago,Location,SkyIslands_Hyrule05,West Hyrule Sky Archipelago,-2292.0156,-538.68945,895,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Lanayru Sky Archipelago,Location,SkyIslands_Lanayru02,South Lanayru Sky Archipelago,4368.396,-1254.572,1895,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lanayru Sky Archipelago,Location,SkyIslands_Lanayru03,Lanayru Sky Archipelago,3010.0723,83.19644,1895,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tabantha Sky Archipelago,Location,SkyIslands_Tabanta01,Tabantha Sky Archipelago,-2942.5188,558.38806,1895,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Tabantha Sky Archipelago,Location,SkyIslands_Tabanta02,North Tabantha Sky Archipelago,-3600.504,1333.86,1895,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sokkala Sky Archipelago,Location,SkyIslands_Tamul01,Sokkala Sky Archipelago,3738.987,1688.586,1895,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Akkala Sky Archipelago,Location,SkyIslands_Tamul02,North Akkala Sky Archipelago,3703.71,2998.647,1745,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thunderhead Isles,Location,ZonauThunderSkyIsland,Thunderhead Isles,911.688,-3064.658,1895,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Temple of Time,Location,AncientTimeShrine,Temple of Time,453.45944,-800.34515,1557,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Great Plateau,Location,HopesPlateau,Great Plateau,-938.11707,-1905.6602,130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Temple of Time Ruins,Location,TimesShrine,Temple of Time Ruins,-818.08215,-2002.0026,117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lurker in the Lost Woods,Location,LostForest,Lurker in the Lost Woods,723,1918.5,139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wellspring Island,Location,EX_LowGravityIsland,Wellspring Island,3520.25,535.5,1895,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Desert Rift,Location,GerudoDesertCrack,Desert Rift,-3515.1423,-2731.3923,-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Courage Island,Location,SkyIsland0001,Courage Island,-2265.9956,728,1895,-2266,745,1895,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bravery Island,Location,SkyIsland0002,Bravery Island,206.706,1937,1985,205,1915,1985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Valor Island,Location,SkyIsland0003,Valor Island,4579.1104,-919.4617,2619,4562,-907,1619,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sky Mine,Location,SkyIsland0004,Sky Mine,4603.174,2129.3264,1303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lightcast Island,Location,SkyIsland0009,Lightcast Island,-3607.174,1032,1895,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zonaite Forge Island,Location,SkyIsland0010,Zonaite Forge Island,2349.019,-1869.35,10895,2349,-1879,10895,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Starview Island,Location,SkyIsland0011,Starview Island,-3488.5,-317,1907,-3488,-264,1895,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Lomei Castle Top Floor,Location,SkyIsland0012,North Lomei Castle Top Floor,-825,3370,1185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Lomei Castle Top Floor,Location,SkyIsland0013,South Lomei Castle Top Floor,-1795,-3605.5,1186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lomei Sky Labyrinth,Location,SkyIsland0014,Lomei Sky Labyrinth,4656.199,3789.028,1008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dragonhead Island,Location,ZonauTriedForceSkyIsland,Dragonhead Island,1460,-3380.75,1895,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Floating Scales Island,Location,Zora_FishIsland,Floating Scales Island,4077.0554,535.5341,896,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spring of Courage,Location,BraveFountain,Spring of Courage,879.5,-2371.8196,-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dragon Bone Mire,Location,DragonMarsh,Dragon Bone Mire,-4144.5,1698.5,109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Goflam's Secret Hot Spring,Location,FlamingoSpa,Goflam's Secret Hot Spring,-3442.3696,3545.5022,-105,-3419,3539,369,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Floret Sandbar,Location,FlowerSandbank,Floret Sandbar,853.6,-837.30005,-45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sherfin's Secret Hot Spring,Location,KingfisherSpa,Sherfin's Secret Hot Spring,-4319.5,3495,356,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sturnida Secret Hot Spring,Location,KumSpa,Sturnida Secret Hot Spring,-4089,2731.5,-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spring of Power,Location,PowerFountain,Spring of Power,3756.1265,2672.1367,-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spring of Wisdom,Location,WiseFountain,Spring of Wisdom,3926.4417,-1335.4703,451,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Deya Village Ruins,Location,AdeyaVillage,Deya Village Ruins,354.53073,-1962.5132,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Akkala Span,Location,AkkareBigBridge,Akkala Span,3009.3467,1231.5564,226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Akkala Parade Ground Ruins,Location,AkkareGarrison,Akkala Parade Ground Ruins,3307.7832,1235.5178,112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Akkala Citadel Ruins,Location,AkkareZhai,Akkala Citadel Ruins,3323.8662,1534.9125,508,3324,1503,504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Akkala Bridge Ruins,Location,AkkareZhaiBridge,Akkala Bridge Ruins,3161.5957,1416.6415,278,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Big Twin Bridge,Location,BigBrotherBridge,Big Twin Bridge,1673.1136,-2032.8193,-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hyrule Castle Town Ruins,Location,CastleTownMark,Hyrule Castle Town Ruins,-254.41684,375.6508,-147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Exchange Ruins,Location,CentralExchange,Exchange Ruins,-750.0175,-859.66016,191,-752,-821,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Goponga Village Ruins,Location,ChirakaVillage,Goponga Village Ruins,1619.9369,-281.86096,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coliseum Ruins,Location,Corosseo,Coliseum Ruins,-1151,-1262.5,-55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Death Mountain West Site,Location,DeathMountainWestWorkshop,Death Mountain West Site,2169,2729.9233,531,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Luto's Crossing,Location,DodoraBridge,Luto's Crossing,3067.7861,3.1120605,158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Gerudo Ruins,Location,EastGerudoRuins,East Gerudo Ruins,-2696.0173,-2843.4111,99,-2693,-2851,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Post Ruins,Location,EastPostTownRuin,East Post Ruins,17.563965,-1560.6714,-47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Castle Town Prison,Location,Execution,Castle Town Prison,-676.786,836.9833,-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eagus Bridge,Location,EzzuBridge,Eagus Bridge,969.6924,-942.83386,-6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Floria Bridge,Location,FloriaBridge,Floria Bridge,1731.4282,-3454.8416,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gatepost Town Ruins,Location,FrontGatePosttown,Gatepost Town Ruins,-537.875,-1445.4766,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ultra Ball Haul Check-In,Location,GameBitalockGolf,Ultra Ball Haul Check-In,-3128.2317,611.1468,-79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Selmie's Spot,Location,GameShiledSurf,Selmie's Spot,-2952.0266,3142.8638,551,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shadow Hamlet Ruins,Location,GarakishiVillage,Shadow Hamlet Ruins,3044.9724,2281.275,340,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kolomo Garrison Ruins,Location,GatakaraGarrison,Kolomo Garrison Ruins,-464.38986,-1272.5507,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stolock Bridge,Location,GoronBridge,Stolock Bridge,1627.1952,2478.004,454,1649,2438,454,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Owlan Bridge,Location,HachijoBridge,Owlan Bridge,325.47586,-1273.4111,-42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fort Hateno,Location,HatenoGate,Fort Hateno,2323.9536,-1837.3923,-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hebra Trailhead Lodge,Location,HeburaLodge,Hebra Trailhead Lodge,-3572.0227,2258.135,123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bridge of Hylia,Location,HyralBridge,Bridge of Hylia,-37.40747,-2518.4812,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sanctum,Location,HyruleCastle_Hall_0,Sanctum,-254,1076.9401,340,-254,1101,375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
