Name,Inventory Icon,Caption,Object Map Link,Element,Additional Element Attack Power (AOE),Additional Element Attack Power (Ranged),Additional Element Attack Power (Rod),Element Cooldown,Destroyed on Hit,Fusable,Fuse Attack Power (Sword),Fuse Attack Power (Large Sword),Fuse Attack Power (Spear),Fuse Attack Power (Arrow),Fuse Attack Power (Shield),Fuse Replace Properties,Fuse Cut or Blunt,Fuse Property 1,Fuse Property 2,Fuse Property 3,Fuse Property 4,Fuse Property 5,Fuse Property 6,Fuse Property 7,Hearts Recovered,Cooking Effect,Cooking Effect Level,Cooking Base Effect Duration,Cooking Effect Time Boost Duration,Cooking Effect Time Boost Success Rate,Sell Price,Buy Price (Rupees),Buy Price (Poes),Dye Color,Needed for Quests,Needed for Armor Upgrades,Scales To,Scale Up On Weapon When Points Total Is,Spawn Time,Despawn Time,Flame Guard Level,Flammable,Burns Out,Freezable,Conducts Electricity,Is Character,Wettability,Forest Dweller Cooldown (First Use),Forest Dweller Cooldown,Name (Japanese),Caption (Japanese),IsUsable,IsEditAttachParamForArrow,IsOverrideDamageAttribute,Cooking Tag 1,Cooking Tag 2,Cooking Tag 3,Cooking Tag (Custom),Cooking Tag (Custom) 2,ActorName,MaterialCategory,MaterialCategory Order,PouchSortKey,Compendium #,Inventory Order (By type)
Golden Apple,,"A rare, very sweet fruit that seems to have an
extra sparkle to it. Sometimes found near
normal apples.",Golden Apple,-,-,-,-,-,FALSE,TRUE,1,1,1,1,-,FALSE,Blunt,More Shield Surfing Friction,-,-,-,-,-,-,1.5,-,-,00:30,00:20,100%,8,32,-,Yellow,5,0,-,-,-,-,0,TRUE,TRUE,FALSE,FALSE,FALSE,1,-,-,金のリンゴ,"普通のリンゴに混じって 時折見つかる神秘的な
輝きを放つ果物  食べると味わった事のない
甘味が口の中いっぱいに広がる",TRUE,TRUE,FALSE,CookFruit,-,-,Dessert Fruit,Apple or Wildberry,Item_Fruit_P,Fruit,01,,204,001
Palm Fruit,,"Fruit from palm trees that grow near the
ocean. It doesn't offer any special effects
but will increase your heart recovery
when used as an ingredient.",Palm Fruit,-,-,-,-,-,FALSE,TRUE,1,1,1,1,-,TRUE,Blunt,More Shield Surfing Friction,Not Torch,-,-,-,-,-,1,-,-,00:30,-,-,4,16,-,Light Yellow,0,0,-,-,-,-,0,TRUE,TRUE,FALSE,FALSE,FALSE,1,-,-,ヤシの実,"海辺のヤシの木に実るフルーツ
特別な効果はないが料理に使うと
ハートを回復させる効果がある",TRUE,TRUE,FALSE,CookFruit,-,-,Dessert Fruit,-,Item_Fruit_G,Fruit,01,,205,002
Hylian Tomato,,"A fruit found widely from cold areas to warm
climates. Full of nutrition, and kind of trendy
lately. Use it in cooking to recover more
hearts.",Hylian Tomato,-,-,-,-,-,FALSE,TRUE,1,1,1,1,-,FALSE,Blunt,More Shield Surfing Friction,-,-,-,-,-,-,1,-,-,00:30,-,-,4,16,-,Orange,0,0,-,-,-,-,0,TRUE,TRUE,FALSE,FALSE,FALSE,1,-,-,ハイラルトマト,"寒冷地から 温暖な気候まで 幅広く分布する果実
栄養たっぷりで 近年注目されている
料理に使うと ハートの回復量が増える",TRUE,TRUE,FALSE,CookFruit,-,-,-,-,Item_Fruit_M,Fruit,01,,207,003
Apple,,"A common fruit eaten by people since ancient
times. Eat it fresh, or cook it to increase
its effect.",Apple,-,-,-,-,-,FALSE,TRUE,1,1,1,1,-,FALSE,Blunt,More Shield Surfing Friction,-,-,-,-,-,-,0.5,-,-,00:30,-,-,3,12,-,Red,1,0,-,-,-,-,0,TRUE,TRUE,FALSE,FALSE,FALSE,1,-,-,リンゴ,"太古の昔から 人々に食べられている果物 
そのまま食べてもいいし
料理の材料に使えば 効果もアップする",TRUE,FALSE,FALSE,CookFruit,-,-,Dessert Fruit,Apple or Wildberry,Item_Fruit_A,Fruit,01,,203,004
Wildberry,,"A fruit that grows in cold, snowy regions
known for its tangy, sweet flavor. It doesn't
offer any special effects, but it's a popular
cooking ingredient.",Wildberry,-,-,-,-,-,FALSE,TRUE,1,1,1,1,-,FALSE,Blunt,More Shield Surfing Friction,-,-,-,-,-,-,0.5,-,-,00:30,-,-,3,12,-,Peach,0,0,-,-,-,-,0,TRUE,TRUE,FALSE,FALSE,FALSE,1,-,-,イチゴ,"雪の降る寒い地方で実るフルーツ
甘酸っぱい味が特徴で 特別な効果はないが
料理にもよく使われる",TRUE,FALSE,FALSE,CookFruit,-,-,Dessert Fruit,Apple or Wildberry,Item_Fruit_B,Fruit,01,,206,005
Voltfruit,,"Cacti found in the Gerudo Desert bear this
sweet fruit. It's naturally insulated, so when
cooked into a dish, it provides resistance
against electricity.",Voltfruit,-,-,-,-,-,FALSE,TRUE,1,1,1,1,-,FALSE,Blunt,More Shield Surfing Friction,-,-,-,-,-,-,0.5,Shock Resistance,1,00:30,-,-,4,16,-,Orange,0,15,-,-,-,-,0,TRUE,TRUE,FALSE,FALSE,FALSE,1,-,-,ビリビリフルーツ,"ゲルド砂漠のサボテンに実るフルーツ
甘い実には 絶縁成分が豊富に含まれており
料理に使うと 電気の攻撃に強くなる効果がある",TRUE,TRUE,FALSE,CookFruit,-,-,Dessert Fruit,-,Item_Fruit_C,Fruit,01,,210,006
Fleet-Lotus Seeds,,"The plant that bears these seeds grows near
deep water. The roots draw nutrients from the
water, which boosts your movement speed
when the seeds are cooked into a dish.",Fleet-Lotus Seeds,-,-,-,-,-,FALSE,TRUE,1,1,1,1,-,FALSE,Blunt,More Shield Surfing Friction,-,-,-,-,-,-,0.5,Speed Up,2,00:30,-,-,5,20,-,Green,0,0,-,-,-,-,0,TRUE,TRUE,FALSE,FALSE,FALSE,1,-,-,ゴーゴーハスの実,"水辺に咲いているハスの実
水中深く張り巡らせた根から集まった栄養は
料理に使うと 移動速度が上がる効果として現れる",TRUE,TRUE,FALSE,CookFruit,-,-,-,-,Item_Fruit_E,Fruit,01,,211,007
Hydromelon,,"This resilient fruit can flourish even in the
heat of the desert. The hydrating liquid
inside provides a cooling effect that, when
cooked, increases your heat resistance.",Hydromelon,-,-,-,-,-,FALSE,TRUE,1,1,1,1,-,TRUE,Blunt,More Shield Surfing Friction,Not Torch,-,-,-,-,-,0.5,Heat Resistance,1,00:30,-,-,4,16,-,Green,0,0,-,-,-,-,0,TRUE,TRUE,FALSE,FALSE,FALSE,1,-,-,ヒンヤリメロン,"砂漠でも育つ特殊なフルーツ
ジューシーな果肉には体温を下げる効果があり
料理に使うと 暑さに耐える効果を発揮する",TRUE,TRUE,FALSE,CookFruit,-,-,Dessert Fruit,-,Item_Fruit_F,Fruit,01,,208,008
Mighty Bananas,,"This fruit grows mainly in tropical forests
of the Faron region. When it's used as an
ingredient, the resulting dish will temporarily
increase your attack power.",Mighty Bananas,-,-,-,-,-,FALSE,TRUE,1,1,1,1,-,FALSE,Blunt,More Shield Surfing Friction,-,-,-,-,-,-,0.5,Attack Up,2,00:30,-,-,5,20,-,Yellow,0,30,-,-,-,-,0,TRUE,TRUE,FALSE,FALSE,FALSE,1,-,-,ツルギバナナ,"主にフィローネ地方の 熱帯林に実るフルーツ
皮に包まれた果肉には 筋力増強効果があるとされ
調理すると 攻撃力が増す料理ができる",TRUE,TRUE,FALSE,CookFruit,-,-,Dessert Fruit,-,Item_Fruit_H,Fruit,01,,212,009
Spicy Pepper,,"This pepper is exploding with spice.
Cook with it to create dishes that
will raise your body temperature and
help you withstand the cold.",Spicy Pepper,-,-,-,-,-,FALSE,TRUE,1,1,1,1,-,FALSE,Blunt,More Shield Surfing Friction,-,-,-,-,-,-,0.5,Cold Resistance,1,00:30,-,-,3,12,-,Red,0,0,-,-,-,-,0,TRUE,TRUE,FALSE,FALSE,FALSE,1,-,-,ポカポカ草の実,"生で食べるとピリピリする実
料理に使うと 体が暖まり
寒いところでも耐えられるようになる",TRUE,TRUE,FALSE,CookFruit,-,-,-,-,Item_Fruit_I,Fruit,01,,209,010
